customer_id,total_transactions,active_days,total_transaction_value,average_transaction_amount,maximum_transaction_amount,historical_fraud_transactions,historical_fraud_rate,average_transaction_velocity,maximum_transaction_velocity,rapid_transaction_count,amount_anomaly_count,international_transaction_count,digital_transaction_count,average_behavioural_risk_score,maximum_behavioural_risk_score
100057,7,7,591.34,84.477143,221.97,0,0.0000,1.00000000,1.0000,0,0,2,5,1.0000,2
100058,5,5,225.05,45.010000,76.33,0,0.0000,1.00000000,1.0000,0,0,3,2,1.0000,2
100059,8,8,904.22,113.027500,467.75,0,0.0000,1.00000000,1.0000,0,0,6,5,1.5000,2
100060,7,7,3430.39,490.055714,3226.56,0,0.0000,1.00000000,1.0000,0,1,4,5,1.5714,4
100061,9,9,748.90,83.211111,376.87,0,0.0000,1.00000000,1.0000,0,0,5,4,1.1111,2
100062,10,10,2345.93,234.593000,1004.72,1,0.1000,1.00000000,1.0000,0,1,9,7,1.9000,4
100063,6,6,165.38,27.563333,104.39,0,0.0000,1.00000000,1.0000,0,0,5,3,1.3333,2
100064,7,7,417.32,59.617143,235.16,0,0.0000,1.00000000,1.0000,0,0,6,4,1.4286,2
100065,4,4,239.26,59.815000,196.69,0,0.0000,1.00000000,1.0000,0,0,4,2,1.5000,2
100066,7,7,1004.73,143.532857,418.02,0,0.0000,1.00000000,1.0000,0,0,3,2,1.0000,2
100067,7,7,1800.45,257.207143,1184.85,1,0.1429,1.00000000,1.0000,0,1,3,2,1.0000,4
100068,9,9,380.62,42.291111,227.35,0,0.0000,1.00000000,1.0000,0,0,7,3,1.1111,2
100069,9,9,703.59,78.176667,232.71,0,0.0000,1.00000000,1.0000,0,0,6,1,0.7778,1
100070,12,12,1431.20,119.266667,785.44,1,0.0833,1.00000000,1.0000,0,1,8,6,1.3333,3
100071,3,3,382.11,127.370000,210.37,0,0.0000,1.00000000,1.0000,0,0,2,1,1.0000,2
100072,9,9,1304.63,144.958889,635.62,0,0.0000,1.00000000,1.0000,0,1,6,3,1.2222,4
100073,7,7,353.38,50.482857,218.52,0,0.0000,1.00000000,1.0000,0,0,5,5,1.4286,2
100074,6,6,663.39,110.565000,355.20,0,0.0000,1.00000000,1.0000,0,0,3,4,1.3333,3
100075,4,4,366.64,91.660000,296.19,0,0.0000,1.00000000,1.0000,0,0,4,1,1.2500,2
100076,5,5,1130.41,226.082000,713.84,0,0.0000,1.00000000,1.0000,0,1,4,3,1.8000,3
100077,8,8,1351.26,168.907500,918.27,0,0.0000,1.00000000,1.0000,0,1,7,3,1.5000,4
100078,5,5,273.00,54.600000,186.39,0,0.0000,1.00000000,1.0000,0,0,4,3,1.4000,2
100079,7,7,882.59,126.084286,577.28,0,0.0000,1.00000000,1.0000,0,0,4,4,1.2857,2
100080,9,9,2955.75,328.416667,1584.04,1,0.1111,1.00000000,1.0000,0,2,5,5,1.5556,4
100081,5,5,698.54,139.708000,511.69,0,0.0000,1.00000000,1.0000,0,0,1,2,0.8000,3
100082,5,5,534.87,106.974000,280.65,0,0.0000,1.00000000,1.0000,0,0,3,3,1.2000,2
100083,11,11,745.34,67.758182,359.78,1,0.0909,1.00000000,1.0000,0,0,9,7,1.5455,3
100084,6,6,437.35,72.891667,358.02,0,0.0000,1.00000000,1.0000,0,0,4,3,1.3333,3
100085,6,6,2047.53,341.255000,926.19,1,0.1667,1.00000000,1.0000,0,2,6,2,2.0000,3
100086,9,9,1314.13,146.014444,799.89,0,0.0000,1.11111111,2.0000,0,1,5,4,1.2222,3
100087,5,5,179.97,35.994000,80.33,0,0.0000,1.00000000,1.0000,0,0,3,2,1.0000,2
100088,4,4,1252.14,313.035000,1128.01,0,0.0000,1.00000000,1.0000,0,1,1,4,1.7500,3
100089,4,4,224.33,56.082500,121.05,1,0.2500,1.00000000,1.0000,0,0,2,3,1.2500,2
100090,5,5,154.79,30.958000,79.66,0,0.0000,1.00000000,1.0000,0,0,3,2,1.0000,2
100091,7,7,294.92,42.131429,103.75,1,0.1429,1.00000000,1.0000,0,0,5,5,1.4286,2
100092,6,6,560.78,93.463333,258.11,0,0.0000,1.00000000,1.0000,0,0,3,4,1.1667,2
100093,6,6,287.71,47.951667,75.99,1,0.1667,1.00000000,1.0000,0,0,6,3,1.5000,2
100094,5,5,75.29,15.058000,39.17,0,0.0000,1.00000000,1.0000,0,0,5,2,1.4000,2
100095,5,5,1036.08,207.216000,489.28,0,0.0000,1.00000000,1.0000,0,0,3,3,1.4000,2
100096,11,11,1437.44,130.676364,523.15,0,0.0000,1.00000000,1.0000,0,0,5,4,1.0000,3
100097,7,6,300.24,42.891429,102.07,0,0.0000,1.14285714,2.0000,0,0,2,5,1.0000,2
100098,4,4,589.30,147.325000,267.12,0,0.0000,1.00000000,1.0000,0,0,3,3,1.5000,2
100099,9,9,369.67,41.074444,157.87,0,0.0000,1.00000000,1.0000,0,0,6,5,1.2222,2
100100,9,9,1911.23,212.358889,1140.11,0,0.0000,1.00000000,1.0000,0,1,4,4,1.1111,3
100101,10,10,639.03,63.903000,181.64,0,0.0000,1.10000000,2.0000,0,0,9,5,1.4000,2
100102,5,5,387.61,77.522000,323.83,0,0.0000,1.00000000,1.0000,0,0,3,3,1.2000,2
100103,4,4,145.13,36.282500,84.30,0,0.0000,1.00000000,1.0000,0,0,4,3,1.7500,2
100104,4,4,308.79,77.197500,126.99,1,0.2500,1.00000000,1.0000,0,0,2,2,1.0000,2
100105,13,13,1313.88,101.067692,419.99,0,0.0000,1.00000000,1.0000,0,0,8,4,1.0000,2
100106,7,7,572.74,81.820000,125.06,0,0.0000,1.00000000,1.0000,0,0,6,4,1.4286,2
100107,7,7,307.89,43.984286,111.32,0,0.0000,1.00000000,1.0000,0,0,6,3,1.2857,2
100108,8,8,432.31,54.038750,125.69,1,0.1250,1.00000000,1.0000,0,0,6,4,1.2500,2
100109,10,10,713.43,71.343000,194.48,0,0.0000,1.00000000,1.0000,0,0,8,3,1.1000,2
100110,5,5,225.27,45.054000,92.65,0,0.0000,1.00000000,1.0000,0,0,1,3,0.8000,2
100111,1,1,28.83,28.830000,28.83,0,0.0000,1.00000000,1.0000,0,0,1,0,1.0000,1
100112,15,15,1128.47,75.231333,314.81,0,0.0000,1.00000000,1.0000,0,0,12,9,1.4000,2
100113,9,9,1255.95,139.550000,888.05,0,0.0000,1.00000000,1.0000,0,1,7,3,1.3333,3
100114,5,5,335.19,67.038000,222.59,0,0.0000,1.00000000,1.0000,0,0,3,3,1.2000,2
100115,5,5,227.36,45.472000,84.71,0,0.0000,1.00000000,1.0000,0,0,4,4,1.6000,2
100116,4,4,415.87,103.967500,202.12,0,0.0000,1.00000000,1.0000,0,0,3,0,0.7500,1
100117,2,2,52.60,26.300000,39.85,0,0.0000,1.00000000,1.0000,0,0,1,1,1.0000,2
100118,5,5,590.06,118.012000,296.77,1,0.2000,1.00000000,1.0000,0,0,4,3,1.4000,2
100119,7,7,1012.74,144.677143,474.77,0,0.0000,1.00000000,1.0000,0,0,4,3,1.1429,3
100120,4,4,415.50,103.875000,270.59,0,0.0000,1.00000000,1.0000,0,0,3,4,1.7500,2
100121,6,6,213.34,35.556667,75.85,1,0.1667,1.00000000,1.0000,0,0,6,5,1.8333,2
100122,7,7,488.80,69.828571,166.32,0,0.0000,1.00000000,1.0000,0,0,6,4,1.4286,2
100123,12,12,498.03,41.502500,103.70,0,0.0000,1.00000000,1.0000,0,0,6,3,0.7500,2
100124,12,11,509.97,42.497500,158.42,0,0.0000,1.08333333,2.0000,0,0,7,5,1.0000,2
100125,3,3,81.14,27.046667,37.17,1,0.3333,1.00000000,1.0000,0,0,3,3,2.0000,2
100126,12,12,588.34,49.028333,220.64,1,0.0833,1.00000000,1.0000,0,0,9,3,1.0000,2
100127,8,8,378.05,47.256250,130.75,0,0.0000,1.00000000,1.0000,0,0,7,3,1.2500,2
100128,1,1,14.59,14.590000,14.59,0,0.0000,1.00000000,1.0000,0,0,1,1,2.0000,2
100129,1,1,52.89,52.890000,52.89,0,0.0000,1.00000000,1.0000,0,0,1,0,1.0000,1
100130,8,8,357.62,44.702500,80.41,0,0.0000,1.00000000,1.0000,0,0,7,5,1.5000,2
100131,7,7,1519.99,217.141429,971.09,0,0.0000,1.00000000,1.0000,0,1,6,5,1.8571,2
100132,6,6,112.51,18.751667,46.65,0,0.0000,1.00000000,1.0000,0,0,5,3,1.3333,2
100133,5,5,1010.79,202.158000,536.16,0,0.0000,1.00000000,1.0000,0,0,4,2,1.4000,3
100134,6,6,756.27,126.045000,381.07,0,0.0000,1.00000000,1.0000,0,0,4,5,1.6667,2
100135,4,4,1808.86,452.215000,1420.97,1,0.2500,1.00000000,1.0000,0,1,4,2,2.2500,4
100136,4,4,813.23,203.307500,728.58,0,0.0000,1.00000000,1.0000,0,1,3,2,1.7500,4
100137,6,6,398.96,66.493333,176.40,0,0.0000,1.00000000,1.0000,0,0,2,4,1.0000,2
100138,8,8,969.69,121.211250,428.74,0,0.0000,1.00000000,1.0000,0,0,5,4,1.2500,2
100139,9,9,465.06,51.673333,166.38,2,0.2222,1.00000000,1.0000,0,0,5,5,1.1111,2
100140,6,6,281.52,46.920000,94.62,0,0.0000,1.00000000,1.0000,0,0,3,3,1.0000,2
100141,6,6,447.02,74.503333,110.80,1,0.1667,1.00000000,1.0000,0,0,5,3,1.3333,2
100142,3,3,156.70,52.233333,66.88,0,0.0000,1.00000000,1.0000,0,0,1,2,1.0000,2
100143,2,2,42.10,21.050000,34.66,0,0.0000,1.00000000,1.0000,0,0,2,1,1.5000,2
100144,8,8,632.13,79.016250,281.90,0,0.0000,1.00000000,1.0000,0,0,8,4,1.5000,2
100145,3,3,227.99,75.996667,166.26,0,0.0000,1.00000000,1.0000,0,0,2,2,1.3333,2
100146,9,9,322.32,35.813333,93.53,0,0.0000,1.00000000,1.0000,0,0,8,6,1.5556,2
100147,9,9,464.86,51.651111,105.91,0,0.0000,1.00000000,1.0000,0,0,6,5,1.2222,2
100148,3,3,91.44,30.480000,55.63,0,0.0000,1.00000000,1.0000,0,0,2,0,0.6667,1
100149,9,9,452.84,50.315556,138.96,0,0.0000,1.00000000,1.0000,0,0,6,7,1.4444,2
100150,4,4,442.73,110.682500,210.36,0,0.0000,1.00000000,1.0000,0,0,2,3,1.2500,2
100151,5,5,516.47,103.294000,275.84,0,0.0000,1.00000000,1.0000,0,0,2,5,1.4000,2
100152,9,9,1076.40,119.600000,646.67,0,0.0000,1.00000000,1.0000,0,1,6,5,1.4444,2
100153,6,6,1552.97,258.828333,567.14,2,0.3333,1.00000000,1.0000,0,0,6,4,2.0000,3
100154,7,7,168.98,24.140000,84.98,0,0.0000,1.00000000,1.0000,0,0,6,2,1.1429,2
100155,8,8,1740.74,217.592500,1455.10,1,0.1250,1.00000000,1.0000,0,1,6,3,1.3750,3
100156,5,5,629.63,125.926000,331.76,0,0.0000,1.00000000,1.0000,0,0,2,1,0.8000,3
100157,5,5,375.31,75.062000,209.78,0,0.0000,1.00000000,1.0000,0,0,3,2,1.0000,2
100158,8,8,951.11,118.888750,402.67,0,0.0000,1.00000000,1.0000,0,0,7,5,1.6250,2
100159,2,2,219.79,109.895000,200.19,0,0.0000,1.00000000,1.0000,0,0,2,0,1.0000,1
100160,10,10,740.17,74.017000,282.93,0,0.0000,1.00000000,1.0000,0,0,6,4,1.0000,2
100161,12,12,1794.93,149.577500,801.29,0,0.0000,1.00000000,1.0000,0,1,9,6,1.4167,3
100162,5,5,241.10,48.220000,152.60,2,0.4000,1.20000000,2.0000,0,0,5,3,1.6000,2
100163,6,6,236.55,39.425000,66.67,1,0.1667,1.00000000,1.0000,0,0,6,3,1.5000,2
100164,10,10,354.90,35.490000,147.33,0,0.0000,1.00000000,1.0000,0,0,6,4,1.0000,2
100165,3,3,137.84,45.946667,89.61,0,0.0000,1.00000000,1.0000,0,0,1,0,0.3333,1
100166,4,4,311.18,77.795000,211.96,0,0.0000,1.00000000,1.0000,0,0,2,0,0.5000,1
100167,11,11,316.90,28.809091,80.10,0,0.0000,1.00000000,1.0000,0,0,7,5,1.0909,2
100168,4,4,149.58,37.395000,63.68,0,0.0000,1.00000000,1.0000,0,0,3,2,1.2500,2
100169,6,6,3248.09,541.348333,2666.23,1,0.1667,1.00000000,1.0000,0,1,6,4,2.1667,3
100170,9,9,519.89,57.765556,170.19,0,0.0000,1.00000000,1.0000,0,0,6,4,1.1111,2
100171,9,8,906.07,100.674444,230.59,0,0.0000,1.11111111,2.0000,0,0,4,4,0.8889,2
100172,3,3,328.64,109.546667,234.12,0,0.0000,1.00000000,1.0000,0,0,2,0,0.6667,1
100173,5,5,298.36,59.672000,169.34,0,0.0000,1.00000000,1.0000,0,0,3,3,1.2000,2
100174,7,7,886.61,126.658571,536.82,0,0.0000,1.00000000,1.0000,0,0,5,3,1.2857,3
100175,4,4,465.83,116.457500,218.84,0,0.0000,1.00000000,1.0000,0,0,3,1,1.0000,2
100176,7,7,370.08,52.868571,179.41,0,0.0000,1.00000000,1.0000,0,0,5,3,1.1429,2
100177,3,3,700.77,233.590000,588.62,0,0.0000,1.00000000,1.0000,0,0,2,2,1.6667,2
100178,6,6,648.12,108.020000,486.76,0,0.0000,1.00000000,1.0000,0,0,3,3,1.1667,2
100179,10,10,1274.73,127.473000,225.43,0,0.0000,1.00000000,1.0000,0,0,7,6,1.3000,2
100180,8,8,360.68,45.085000,197.45,0,0.0000,1.00000000,1.0000,0,0,6,2,1.0000,2
100181,6,6,1744.48,290.746667,618.82,0,0.0000,1.00000000,1.0000,0,1,4,1,1.3333,2
100182,4,4,806.16,201.540000,526.85,0,0.0000,1.00000000,1.0000,0,0,1,2,1.0000,1
100183,4,4,287.89,71.972500,118.03,0,0.0000,1.00000000,1.0000,0,0,4,2,1.5000,2
100184,7,7,950.59,135.798571,391.68,0,0.0000,1.00000000,1.0000,0,0,3,3,1.1429,3
100185,6,6,999.14,166.523333,496.95,0,0.0000,1.00000000,1.0000,0,0,4,3,1.3333,3
100186,10,10,961.54,96.154000,371.52,0,0.0000,1.10000000,2.0000,0,0,7,5,1.3000,2
100187,2,2,215.83,107.915000,208.02,0,0.0000,1.00000000,1.0000,0,0,2,2,2.0000,2
100188,9,9,474.54,52.726667,228.75,0,0.0000,1.00000000,1.0000,0,0,7,5,1.3333,2
100189,3,3,130.91,43.636667,52.95,0,0.0000,1.00000000,1.0000,0,0,3,0,1.0000,1
100190,4,4,1136.94,284.235000,906.25,0,0.0000,1.00000000,1.0000,0,1,3,2,1.7500,3
100191,5,5,225.33,45.066000,68.23,0,0.0000,1.00000000,1.0000,0,0,4,3,1.4000,2
100192,6,6,230.61,38.435000,130.50,0,0.0000,1.00000000,1.0000,0,0,2,3,0.8333,2
100193,3,3,298.62,99.540000,168.27,0,0.0000,1.00000000,1.0000,0,0,1,1,0.6667,2
100194,11,11,928.21,84.382727,221.28,1,0.0909,1.00000000,1.0000,0,0,9,6,1.3636,2
100195,4,4,257.26,64.315000,125.82,0,0.0000,1.00000000,1.0000,0,0,2,3,1.2500,2
100196,5,5,487.29,97.458000,159.58,1,0.2000,1.00000000,1.0000,0,0,5,3,1.6000,2
100197,8,8,137.10,17.137500,37.85,1,0.1250,1.00000000,1.0000,0,0,5,5,1.2500,2
100198,5,5,238.61,47.722000,158.94,0,0.0000,1.00000000,1.0000,0,0,2,2,0.8000,2
100199,3,3,288.66,96.220000,172.29,0,0.0000,1.00000000,1.0000,0,0,2,1,1.0000,1
100200,8,8,401.59,50.198750,89.55,0,0.0000,1.00000000,1.0000,0,0,5,3,1.0000,2
100201,7,7,590.17,84.310000,253.92,0,0.0000,1.00000000,1.0000,0,0,4,4,1.1429,2
100202,6,5,202.78,33.796667,83.69,0,0.0000,1.16666667,2.0000,0,0,5,2,1.1667,2
100203,10,10,1110.67,111.067000,656.55,0,0.0000,1.00000000,1.0000,0,1,4,5,1.1000,2
100204,6,6,370.58,61.763333,99.64,0,0.0000,1.00000000,1.0000,0,0,3,3,1.0000,2
100205,4,4,188.54,47.135000,82.90,0,0.0000,1.00000000,1.0000,0,0,3,1,1.0000,2
100206,7,7,310.67,44.381429,74.81,0,0.0000,1.00000000,1.0000,0,0,4,5,1.2857,2
100207,6,6,818.60,136.433333,452.78,1,0.1667,1.00000000,1.0000,0,0,3,3,1.1667,2
100208,13,13,934.08,71.852308,174.50,0,0.0000,1.00000000,1.0000,0,0,9,3,0.9231,2
100209,10,10,541.53,54.153000,193.25,1,0.1000,1.00000000,1.0000,0,0,9,2,1.1000,2
100210,8,8,756.53,94.566250,330.66,0,0.0000,1.00000000,1.0000,0,0,4,2,0.8750,2
100211,8,8,1042.32,130.290000,334.22,0,0.0000,1.00000000,1.0000,0,0,6,3,1.2500,3
100212,9,9,354.38,39.375556,99.98,0,0.0000,1.00000000,1.0000,0,0,4,6,1.1111,2
100213,6,6,285.23,47.538333,82.26,0,0.0000,1.00000000,1.0000,0,0,4,2,1.0000,2
100214,6,6,279.93,46.655000,84.85,0,0.0000,1.00000000,1.0000,0,0,4,3,1.1667,2
100215,9,9,610.36,67.817778,122.54,0,0.0000,1.00000000,1.0000,0,0,7,5,1.3333,2
100216,11,11,328.26,29.841818,85.50,0,0.0000,1.00000000,1.0000,0,0,7,6,1.1818,2
100217,8,8,1890.32,236.290000,1351.83,1,0.1250,1.00000000,1.0000,0,1,5,5,1.5000,4
100218,5,5,300.88,60.176000,196.62,0,0.0000,1.00000000,1.0000,0,0,2,0,0.4000,1
100219,4,4,1073.91,268.477500,891.84,0,0.0000,1.00000000,1.0000,0,1,3,1,1.5000,3
100220,6,6,440.08,73.346667,127.64,0,0.0000,1.00000000,1.0000,0,0,4,3,1.1667,2
100221,7,7,318.95,45.564286,131.44,0,0.0000,1.00000000,1.0000,0,0,4,3,1.0000,2
100222,2,2,58.15,29.075000,39.01,0,0.0000,1.00000000,1.0000,0,0,1,1,1.0000,1
100223,6,6,572.19,95.365000,246.34,0,0.0000,1.00000000,1.0000,0,0,5,2,1.1667,2
100224,7,7,356.23,50.890000,179.94,0,0.0000,1.00000000,1.0000,0,0,5,3,1.1429,2
100225,6,6,862.91,143.818333,636.71,0,0.0000,1.00000000,1.0000,0,1,4,5,1.8333,4
100226,4,4,378.25,94.562500,253.67,0,0.0000,1.00000000,1.0000,0,0,3,1,1.0000,2
100227,4,4,802.11,200.527500,564.02,0,0.0000,1.00000000,1.0000,0,0,3,3,1.7500,2
100228,14,13,2375.44,169.674286,687.74,0,0.0000,1.07142857,2.0000,0,1,8,8,1.4286,4
100229,9,9,883.72,98.191111,423.75,0,0.0000,1.00000000,1.0000,0,0,6,6,1.4444,3
100230,9,9,314.35,34.927778,67.35,0,0.0000,1.00000000,1.0000,0,0,2,4,0.6667,2
100231,7,7,598.61,85.515714,367.45,0,0.0000,1.14285714,2.0000,0,0,4,4,1.2857,3
100232,5,5,290.18,58.036000,108.86,0,0.0000,1.00000000,1.0000,0,0,4,2,1.2000,2
100233,8,8,474.12,59.265000,240.09,1,0.1250,1.00000000,1.0000,0,0,7,6,1.6250,2
100234,12,12,3261.94,271.828333,1816.55,0,0.0000,1.00000000,1.0000,0,2,10,4,1.5833,4
100235,11,11,959.24,87.203636,413.08,0,0.0000,1.09090909,2.0000,0,0,10,5,1.4545,2
100236,7,7,417.80,59.685714,167.38,0,0.0000,1.00000000,1.0000,0,0,4,2,0.8571,2
100237,8,8,382.68,47.835000,82.57,0,0.0000,1.00000000,1.0000,0,0,6,4,1.2500,2
100238,6,6,250.24,41.706667,114.11,1,0.1667,1.00000000,1.0000,0,0,3,2,0.8333,2
100239,9,9,681.26,75.695556,244.86,0,0.0000,1.00000000,1.0000,0,0,5,5,1.1111,2
100240,10,10,790.76,79.076000,280.79,0,0.0000,1.00000000,1.0000,0,0,7,6,1.3000,2
100241,6,6,895.56,149.260000,569.65,0,0.0000,1.00000000,1.0000,0,0,6,4,1.8333,3
100242,5,5,432.27,86.454000,152.97,0,0.0000,1.00000000,1.0000,0,0,4,3,1.4000,2
100243,4,4,168.94,42.235000,121.82,1,0.2500,1.00000000,1.0000,0,0,4,2,1.5000,2
100244,4,4,304.47,76.117500,110.16,0,0.0000,1.00000000,1.0000,0,0,2,3,1.2500,2
100245,14,14,1722.30,123.021429,593.42,1,0.0714,1.00000000,1.0000,0,0,10,5,1.2143,3
100246,6,6,455.96,75.993333,288.45,1,0.1667,1.00000000,1.0000,0,0,1,3,0.6667,2
100247,14,14,880.51,62.893571,206.63,0,0.0000,1.00000000,1.0000,0,0,7,6,0.9286,2
100248,8,8,693.32,86.665000,411.15,0,0.0000,1.00000000,1.0000,0,0,6,6,1.6250,3
100249,2,2,125.77,62.885000,81.81,0,0.0000,1.00000000,1.0000,0,0,2,1,1.5000,2
100250,8,8,859.90,107.487500,268.34,0,0.0000,1.00000000,1.0000,0,0,5,2,0.8750,2
100251,3,3,172.30,57.433333,80.46,0,0.0000,1.00000000,1.0000,0,0,2,3,1.6667,2
100252,2,2,340.23,170.115000,177.82,0,0.0000,1.00000000,1.0000,0,0,0,2,1.0000,1
100253,7,7,1035.74,147.962857,548.28,0,0.0000,1.00000000,1.0000,0,0,3,4,1.2857,2
100254,4,4,515.58,128.895000,376.62,0,0.0000,1.00000000,1.0000,0,0,2,2,1.2500,2
100255,8,8,396.61,49.576250,129.59,0,0.0000,1.00000000,1.0000,0,0,3,2,0.6250,2
100256,3,3,88.60,29.533333,59.81,0,0.0000,1.00000000,1.0000,0,0,2,1,1.0000,2
100257,8,8,910.23,113.778750,403.97,0,0.0000,1.12500000,2.0000,0,0,6,4,1.3750,2
