transaction_date,total_transactions,actual_fraud_transactions,predicted_high_risk_transactions,total_transaction_value,actual_fraud_value,potential_exposure,fraud_rate
2024-02-03,274,11,95,19705.05,764.78,6592.36,4.0146
2024-02-04,273,2,96,21515.86,255.05,7709.01,0.7326
2024-02-05,274,8,81,25909.43,2505.8199999999997,7836.16,2.9197
2024-02-06,274,9,94,34933.12,12081.21,19739.24,3.2847
2024-02-07,274,7,86,27649.81,4675.92,11653.34,2.5547
2024-02-08,274,9,90,27846.01,4340.03,11384.66,3.2847
2024-02-09,274,10,97,27622.53,1774.84,10486.43,3.6496
2024-02-10,274,6,88,29282.65,2979.46,8704.74,2.1898
2024-02-11,274,5,80,28069.68,2466.22,12022.16,1.8248
2024-02-12,274,4,84,22561.13,1058.33,6592.48,1.4599
2024-02-13,274,8,94,23142.66,660.31,7122.95,2.9197
2024-02-14,274,9,94,25975.6,504.32,9610.36,3.2847
2024-02-15,274,4,92,26118.15,266.15999999999997,7096.62,1.4599
2024-02-16,274,4,96,21216.85,489.25,7717.9,1.4599
2024-02-17,274,6,89,24645.16,589.0600000000001,7696.88,2.1898
2024-02-18,274,7,92,19770.89,1689.32,6563.07,2.5547
2024-02-19,274,13,87,26730.52,4234.96,10375.16,4.7445
2024-02-20,274,3,82,25683.15,188.96999999999997,7756.7,1.0949
2024-02-21,274,8,95,24863.16,528.45,9204.3,2.9197
2024-02-22,274,11,91,24184.05,5323.49,11582.199999999999,4.0146
2024-02-23,274,8,97,28535.99,2166.72,9386.59,2.9197
2024-02-24,274,9,80,26136.6,4731.51,10929.01,3.2847
2024-02-25,274,6,90,25929.64,246.05,7788.75,2.1898
2024-02-26,274,8,90,30177.83,732.05,12870.65,2.9197
2024-02-27,274,8,95,25019.62,3776.6400000000003,11758.77,2.9197
2024-02-28,274,7,85,22409.3,1622.43,6718.15,2.5547
2024-02-29,274,4,72,22731.61,1823.69,6445.75,1.4599
2024-03-01,274,8,93,27780.850000000002,509.66,9143.1,2.9197
2024-03-02,274,11,85,30975.75,9560.61,14516.960000000001,4.0146
2024-03-03,274,6,90,27396.3,4657.31,10269.75,2.1898
2024-03-04,274,9,85,24915.34,408.65,6116.9,3.2847
2024-03-05,274,10,101,25581.42,1719.53,10132.0,3.6496
2024-03-06,274,7,87,24067.43,2354.4300000000003,10111.68,2.5547
2024-03-07,274,5,98,23394.39,397.28000000000003,9398.34,1.8248
2024-03-08,274,6,89,20801.44,255.79,7170.41,2.1898
2024-03-09,274,9,90,28873.61,3083.88,10586.56,3.2847
2024-03-10,273,8,99,25210.48,988.64,10167.15,2.9304
2024-03-11,274,6,81,26614.25,456.90000000000003,10491.789999999999,2.1898
2024-03-12,274,6,87,24079.49,1561.7499999999998,7853.84,2.1898
2024-03-13,274,6,91,26703.53,2981.3700000000003,10061.18,2.1898
2024-03-14,274,8,80,25515.670000000002,2166.6,7239.1,2.9197
2024-03-15,274,8,78,19764.59,364.29,4880.07,2.9197
2024-03-16,274,3,88,24104.16,1841.92,9097.87,1.0949
2024-03-17,274,13,94,22633.11,893.36,8196.26,4.7445
2024-03-18,274,7,87,26204.12,2212.49,10215.35,2.5547
2024-03-19,274,6,90,27577.26,5205.59,13392.39,2.1898
2024-03-20,274,7,75,27963.38,1520.79,8454.97,2.5547
2024-03-21,274,9,100,24947.32,3006.11,9577.89,3.2847
2024-03-22,274,7,95,22876.29,343.51,7694.86,2.5547
2024-03-23,274,8,92,29349.44,3098.1,11714.039999999999,2.9197
2024-03-24,274,5,75,21979.57,404.87,4969.55,1.8248
2024-03-25,274,12,86,19911.77,764.6,6694.66,4.3796
2024-03-26,274,7,94,28737.85,1162.61,10178.11,2.5547
2024-03-27,274,8,89,24993.21,2017.3700000000001,7287.31,2.9197
2024-03-28,274,10,95,26445.52,2593.82,11339.97,3.6496
2024-03-29,274,5,98,24432.4,1243.32,8193.61,1.8248
2024-03-30,274,8,79,29856.16,3153.72,10316.51,2.9197
2024-03-31,274,13,81,26244.3,3015.2,9230.78,4.7445
2024-04-01,274,9,93,20634.92,429.48,7238.96,3.2847
2024-04-02,274,10,85,30175.11,2873.55,11407.26,3.6496
2024-04-03,274,10,93,32104.02,3522.32,11824.140000000001,3.6496
2024-04-04,274,8,94,23674.11,1861.56,7796.77,2.9197
2024-04-05,274,8,96,24063.14,298.32,7635.49,2.9197
2024-04-06,274,6,89,25796.46,2720.55,12106.11,2.1898
2024-04-07,274,12,97,22431.96,2358.0,8665.74,4.3796
2024-04-08,274,5,86,32124.6,497.27,13843.98,1.8248
2024-04-09,274,8,81,31727.46,2419.48,10550.22,2.9197
2024-04-10,274,10,88,25665.93,4283.12,11026.72,3.6496
2024-04-11,274,5,89,22486.44,226.27,6500.5,1.8248
2024-04-12,274,10,87,25940.3,1080.97,7163.91,3.6496
2024-04-13,274,12,93,29696.09,7162.250000000001,14687.9,4.3796
2024-04-14,273,7,93,22135.4,1819.99,6597.64,2.5641
2024-04-15,274,10,89,37023.409999999996,10494.16,19898.09,3.6496
2024-04-16,274,8,87,23041.54,1492.4299999999998,7909.92,2.9197
2024-04-17,274,8,83,26257.83,322.23,6564.37,2.9197
2024-04-18,274,6,99,22166.03,845.45,8767.54,2.1898
2024-04-19,274,9,79,24680.99,3087.86,8754.32,3.2847
2024-04-20,274,8,101,24589.97,3222.35,10648.09,2.9197
2024-04-21,274,12,86,23036.96,2011.8400000000001,7257.07,4.3796
2024-04-22,274,10,96,19875.43,735.97,7265.07,3.6496
2024-04-23,274,4,89,23882.4,1529.37,7350.0,1.4599
2024-04-24,274,10,85,23843.08,1828.13,7622.42,3.6496
2024-04-25,274,12,89,27180.58,3194.41,11454.27,4.3796
2024-04-26,274,4,92,22927.87,1236.98,8500.17,1.4599
2024-04-27,274,5,99,25324.72,1576.6499999999999,10801.35,1.8248
2024-04-28,274,6,98,22554.8,294.56,8347.93,2.1898
2024-04-29,274,6,106,36301.61,2766.5600000000004,21297.66,2.1898
2024-04-30,274,2,92,24823.41,79.28,7460.7300000000005,0.7299
2024-05-01,274,6,93,21584.3,180.19,6899.36,2.1898
2024-05-02,274,9,80,23830.78,720.51,6563.16,3.2847
2024-05-03,274,10,106,23575.04,2737.6,10921.73,3.6496
2024-05-04,274,10,105,26385.16,2308.14,10428.8,3.6496
2024-05-05,274,6,86,23033.54,320.79,6366.06,2.1898
2024-05-06,274,7,93,21811.01,444.63,6351.01,2.5547
2024-05-07,274,6,97,26511.079999999998,2125.78,10105.54,2.1898
2024-05-08,274,7,104,24291.3,2647.83,10318.85,2.5547
2024-05-09,274,7,80,25113.79,3432.6800000000003,10265.56,2.5547
2024-05-10,274,14,112,22883.13,1460.33,10059.67,5.1095
2024-05-11,274,9,84,23424.09,3641.23,9817.66,3.2847
2024-05-12,274,8,82,30037.11,465.16999999999996,10378.87,2.9197
2024-05-13,274,7,93,23984.78,427.33,8584.24,2.5547
2024-05-14,274,5,83,24148.56,1369.9199999999998,8588.01,1.8248
2024-05-15,274,9,101,26293.02,3651.71,9961.3,3.2847
2024-05-16,274,3,78,25678.52,113.66,8145.36,1.0949
2024-05-17,274,4,88,25749.81,263.71,7484.23,1.4599
2024-05-18,274,8,100,26647.55,4285.92,12880.95,2.9197
2024-05-19,273,5,87,22206.04,552.88,6908.88,1.8315
2024-05-20,274,5,95,24092.82,173.79,5405.82,1.8248
2024-05-21,274,10,95,25885.5,1701.8999999999999,8464.96,3.6496
2024-05-22,274,9,89,24148.54,1802.92,9240.81,3.2847
2024-05-23,274,12,88,25959.73,3073.74,8310.32,4.3796
2024-05-24,274,11,85,28184.16,5203.33,12362.57,4.0146
2024-05-25,274,7,100,25804.04,4753.71,12415.369999999999,2.5547
2024-05-26,274,11,99,26702.19,1938.9,10895.12,4.0146
2024-05-27,274,4,92,21873.11,222.18,7789.19,1.4599
2024-05-28,274,8,100,23214.77,2894.1400000000003,8999.67,2.9197
2024-05-29,274,8,91,21379.57,1276.3999999999999,7940.88,2.9197
2024-05-30,274,8,90,23397.66,3049.2,10037.06,2.9197
2024-05-31,274,7,81,22138.33,317.64,7137.63,2.5547
2024-06-01,274,10,78,24890.54,3004.8,7869.349999999999,3.6496
2024-06-02,274,11,97,28679.6,4614.55,12747.55,4.0146
2024-06-03,274,9,96,21519.25,861.49,8661.09,3.2847
2024-06-04,274,5,89,24458.73,796.29,6307.2,1.8248
2024-06-05,274,8,90,24401.93,3522.1000000000004,9820.02,2.9197
2024-06-06,274,7,76,28394.48,2076.23,8135.34,2.5547
2024-06-07,274,7,92,23160.88,2827.7700000000004,8708.94,2.5547
2024-06-08,274,12,78,25357.16,1803.8400000000001,10779.64,4.3796
2024-06-09,274,7,69,22985.52,343.78,6004.95,2.5547
2024-06-10,274,10,94,23399.74,1707.75,9218.98,3.6496
2024-06-11,274,11,98,25733.43,969.39,9004.87,4.0146
2024-06-12,274,7,81,21219.14,784.06,6111.85,2.5547
2024-06-13,274,10,96,27725.71,3302.77,13095.550000000001,3.6496
2024-06-14,274,10,96,25377.56,1696.4,11986.26,3.6496
2024-06-15,274,10,85,28280.44,5041.66,10265.28,3.6496
2024-06-16,274,9,90,22620.45,1040.08,6431.57,3.2847
2024-06-17,274,10,103,20664.829999999998,429.54999999999995,6890.96,3.6496
2024-06-18,274,5,96,23415.06,678.24,8146.68,1.8248
2024-06-19,274,7,85,24698.39,342.04,6802.87,2.5547
2024-06-20,274,5,84,23114.31,894.8900000000001,8238.88,1.8248
2024-06-21,274,3,92,29739.52,4202.84,11702.75,1.0949
2024-06-22,273,9,101,25700.41,5628.29,13500.57,3.2967
2024-06-23,274,11,102,30350.21,2955.36,15442.82,4.0146
2024-06-24,274,11,89,25804.41,1997.79,10723.12,4.0146
2024-06-25,274,5,77,22595.58,678.11,6357.63,1.8248
2024-06-26,274,7,97,25327.88,1534.1299999999999,9501.97,2.5547
2024-06-27,274,11,82,27072.77,6757.8,12036.07,4.0146
2024-06-28,274,6,94,26612.56,706.02,9202.63,2.1898
2024-06-29,274,6,83,24081.3,2047.6200000000001,8929.720000000001,2.1898
2024-06-30,274,8,88,26702.61,708.98,9465.46,2.9197
2024-07-01,274,6,88,20244.08,264.2,7254.43,2.1898
2024-07-02,274,13,81,21282.62,693.32,5211.06,4.7445
2024-07-03,274,8,81,25782.87,3960.59,9776.07,2.9197
2024-07-04,274,5,86,24913.02,97.53999999999999,7179.55,1.8248
2024-07-05,274,9,80,22609.54,840.76,7100.56,3.2847
2024-07-06,274,10,93,25866.65,1148.19,8092.33,3.6496
2024-07-07,274,7,82,24950.61,219.14000000000001,4741.99,2.5547
2024-07-08,274,9,86,22605.97,2876.37,9651.78,3.2847
2024-07-09,274,6,80,22162.09,1210.35,6424.23,2.1898
2024-07-10,274,4,92,23678.58,213.20000000000002,8121.5599999999995,1.4599
2024-07-11,274,10,110,24695.260000000002,4656.96,12353.24,3.6496
2024-07-12,274,11,86,20544.41,914.18,5924.49,4.0146
2024-07-13,274,4,93,26912.61,2037.63,9559.12,1.4599
2024-07-14,274,10,100,25629.63,1982.06,9261.44,3.6496
2024-07-15,274,8,87,21051.36,1428.2199999999998,7618.96,2.9197
2024-07-16,274,12,89,22560.41,1768.7900000000002,7850.94,4.3796
2024-07-17,274,4,84,22908.39,564.05,6651.97,1.4599
2024-07-18,274,9,98,27114.09,2847.93,9740.18,3.2847
2024-07-19,274,11,91,22217.34,3271.41,8670.86,4.0146
2024-07-20,274,6,92,27695.54,2122.31,12065.36,2.1898
2024-07-21,274,5,89,27009.989999999998,6529.709999999999,12347.08,1.8248
2024-07-22,274,3,75,25412.99,190.32,9344.24,1.0949
2024-07-23,274,8,82,26305.670000000002,909.02,8060.3,2.9197
2024-07-24,274,3,80,22368.64,272.03,6361.17,1.0949
2024-07-25,274,15,93,22851.45,2393.3199999999997,7776.95,5.4745
2024-07-26,274,8,92,23310.39,587.71,7303.38,2.9197
2024-07-27,273,12,92,28133.56,4347.98,12401.77,4.3956
2024-07-28,274,8,81,24476.27,351.21000000000004,6015.15,2.9197
2024-07-29,274,9,89,29319.0,1249.8600000000001,8918.66,3.2847
2024-07-30,274,8,77,24807.11,1903.9900000000002,7228.27,2.9197
2024-07-31,274,6,78,24316.74,462.79,5661.71,2.1898
2024-08-01,274,11,84,23191.99,3124.09,7868.63,4.0146
2024-08-02,274,6,81,26622.61,198.23000000000002,7345.490000000001,2.1898
2024-08-03,274,4,97,24777.96,5232.6900000000005,11710.52,1.4599
2024-08-04,274,13,91,33500.06,6742.95,18974.08,4.7445
2024-08-05,274,8,92,22930.27,414.21,6474.9,2.9197
2024-08-06,274,10,98,24700.37,2043.1,8853.779999999999,3.6496
2024-08-07,274,7,72,23123.32,369.14,6491.61,2.5547
2024-08-08,274,4,83,26163.36,4264.66,10109.35,1.4599
2024-08-09,274,8,90,20469.31,857.69,7520.8099999999995,2.9197
2024-08-10,274,11,96,28618.13,3982.65,11918.04,4.0146
2024-08-11,274,5,81,24200.34,505.91999999999996,7222.1,1.8248
2024-08-12,274,9,94,31371.66,7174.87,13877.3,3.2847
2024-08-13,274,6,88,25041.15,1745.71,9927.83,2.1898
2024-08-14,274,6,80,27364.71,2020.3600000000001,8327.07,2.1898
2024-08-15,274,7,99,19793.71,877.71,6487.58,2.5547
2024-08-16,274,4,86,25422.01,181.88,9665.69,1.4599
2024-08-17,274,8,82,24819.15,3198.3700000000003,8455.13,2.9197
2024-08-18,274,6,91,25486.87,3523.49,9056.17,2.1898
2024-08-19,274,3,94,23978.44,274.43,8877.75,1.0949
2024-08-20,274,8,87,23912.03,1057.32,7169.4,2.9197
2024-08-21,274,8,81,23336.21,550.68,7413.21,2.9197
2024-08-22,274,8,95,24124.75,1740.1,9179.89,2.9197
2024-08-23,274,10,91,24302.72,1820.69,10501.36,3.6496
2024-08-24,274,5,81,26910.079999999998,554.1999999999999,8086.0599999999995,1.8248
2024-08-25,274,12,79,26062.170000000002,4943.13,10874.61,4.3796
2024-08-26,274,4,86,24522.579999999998,760.0,8430.92,1.4599
2024-08-27,274,3,82,25073.29,175.31,9956.61,1.0949
2024-08-28,274,6,84,24093.87,145.85,6804.96,2.1898
2024-08-29,274,7,94,25989.91,1811.2,10141.96,2.5547
2024-08-30,274,8,87,23704.4,1315.13,7423.04,2.9197
2024-08-31,273,12,96,25097.96,2011.04,10346.66,4.3956
2024-09-01,274,9,102,21952.03,503.18,8158.57,3.2847
2024-09-02,274,7,93,24349.99,3546.25,9669.6,2.5547
2024-09-03,274,8,98,21412.77,1528.8200000000002,7434.08,2.9197
2024-09-04,274,6,81,24603.17,785.06,5816.7,2.1898
2024-09-05,274,14,96,24049.39,4269.78,10962.4,5.1095
2024-09-06,274,6,79,25061.71,2326.97,7230.71,2.1898
2024-09-07,274,6,99,27500.67,553.3299999999999,9882.77,2.1898
2024-09-08,274,5,77,24135.43,241.35,6716.9800000000005,1.8248
2024-09-09,274,4,86,31017.22,1678.1799999999998,14251.5,1.4599
2024-09-10,274,8,88,22763.95,697.7,5577.77,2.9197
2024-09-11,274,6,91,26384.95,1401.63,9802.32,2.1898
2024-09-12,274,5,81,24263.44,901.9200000000001,9853.09,1.8248
2024-09-13,274,8,94,34639.03,1719.3500000000001,16404.37,2.9197
2024-09-14,274,10,88,24577.26,1893.0800000000002,9392.65,3.6496
2024-09-15,274,9,95,24204.86,2768.6299999999997,10071.48,3.2847
2024-09-16,274,1,68,22273.05,48.7,7735.45,0.365
2024-09-17,274,11,90,25997.18,2515.93,8835.13,4.0146
2024-09-18,274,12,88,26732.19,4126.82,11952.75,4.3796
2024-09-19,274,9,81,23708.87,669.06,7704.4,3.2847
2024-09-20,274,10,93,26991.86,2747.97,10831.0,3.6496
2024-09-21,274,9,97,25519.58,4262.5599999999995,11125.27,3.2847
2024-09-22,274,9,85,28736.79,3856.9399999999996,10526.42,3.2847
2024-09-23,274,7,89,23588.85,2970.88,9642.07,2.5547
2024-09-24,274,9,72,25949.56,2331.71,8378.85,3.2847
2024-09-25,274,10,93,23945.19,1998.9,8129.58,3.6496
2024-09-26,274,8,89,28082.170000000002,2933.91,10332.79,2.9197
2024-09-27,274,8,98,27025.23,3149.52,12083.8,2.9197
2024-09-28,274,5,88,24243.14,260.12,6476.7699999999995,1.8248
2024-09-29,274,7,85,27632.37,2655.74,9072.710000000001,2.5547
2024-09-30,274,11,97,31911.17,7255.1,16343.25,4.0146
2024-10-01,274,12,89,31868.04,5015.87,14275.59,4.3796
2024-10-02,274,9,90,23239.4,1025.14,6552.63,3.2847
2024-10-03,274,15,93,29063.23,4158.85,13064.130000000001,5.4745
2024-10-04,274,7,88,22036.52,1312.84,7507.22,2.5547
2024-10-05,273,2,84,24971.04,96.11,7550.03,0.7326
2024-10-06,274,8,87,25585.03,2377.67,9400.94,2.9197
2024-10-07,274,15,97,28245.76,6686.79,13396.73,5.4745
2024-10-08,274,12,91,26344.36,3681.87,10921.46,4.3796
2024-10-09,274,7,104,21608.04,1853.17,9793.37,2.5547
2024-10-10,274,8,95,25566.010000000002,3881.5,10559.73,2.9197
2024-10-11,274,4,92,24208.72,2839.0099999999998,9463.34,1.4599
2024-10-12,274,7,93,25361.53,954.7,7768.63,2.5547
2024-10-13,274,10,89,24282.46,839.22,6840.17,3.6496
2024-10-14,274,7,76,21028.79,574.87,4946.91,2.5547
2024-10-15,274,8,93,25119.25,2595.6200000000003,10020.460000000001,2.9197
2024-10-16,274,8,100,27767.04,5319.200000000001,13874.9,2.9197
2024-10-17,274,6,95,24261.89,2400.21,9218.92,2.1898
2024-10-18,274,10,87,29380.02,5950.04,11322.45,3.6496
2024-10-19,274,7,81,22748.5,394.62,6834.8,2.5547
2024-10-20,274,8,78,32900.95,769.19,17352.19,2.9197
2024-10-21,274,4,92,28085.82,3048.92,10382.65,1.4599
2024-10-22,274,5,92,24807.47,457.99,8042.97,1.8248
2024-10-23,274,5,92,25135.579999999998,322.32,7690.4800000000005,1.8248
2024-10-24,274,14,89,25952.99,3192.27,10262.35,5.1095
2024-10-25,274,11,90,26228.94,3011.79,10314.619999999999,4.0146
2024-10-26,274,7,92,20444.15,224.75,7070.8,2.5547
2024-10-27,274,5,86,28067.55,1226.66,11444.14,1.8248
2024-10-28,274,6,77,23707.25,737.5699999999999,6262.88,2.1898
2024-10-29,274,13,93,28467.44,3520.14,12758.73,4.7445
2024-10-30,274,11,82,26906.13,3815.0699999999997,10988.82,4.0146
2024-10-31,274,11,96,23286.920000000002,1823.95,8075.22,4.0146
2024-11-01,274,6,87,23158.82,2576.89,10458.74,2.1898
2024-11-02,274,10,85,25944.76,839.42,7710.96,3.6496
2024-11-03,274,6,92,22412.04,1406.5100000000002,6706.32,2.1898
2024-11-04,274,8,94,22680.75,747.4300000000001,7729.3,2.9197
2024-11-05,274,9,92,24027.72,2337.57,10384.66,3.2847
2024-11-06,274,6,85,27408.38,5186.209999999999,11432.85,2.1898
2024-11-07,274,13,109,22657.01,601.11,10864.56,4.7445
2024-11-08,273,11,83,26830.16,1731.27,8846.61,4.0293
2024-11-09,274,7,97,25049.18,2069.07,8310.89,2.5547
2024-11-10,274,5,83,24085.79,1118.75,6378.53,1.8248
2024-11-11,274,10,86,25953.78,3938.8199999999997,10072.99,3.6496
2024-11-12,274,12,93,26302.74,5110.4,12141.56,4.3796
2024-11-13,274,9,95,27023.71,571.3,12969.23,3.2847
2024-11-14,274,7,95,26523.96,1319.6100000000001,10558.39,2.5547
2024-11-15,274,6,95,20049.72,111.18,6814.58,2.1898
2024-11-16,274,12,93,25339.22,2939.11,9593.17,4.3796
2024-11-17,274,4,91,24456.3,2972.25,9262.18,1.4599
2024-11-18,274,15,85,27717.32,3975.93,9052.27,5.4745
2024-11-19,274,11,102,23677.23,434.73,8136.72,4.0146
2024-11-20,274,7,91,27934.32,1632.9599999999998,9170.73,2.5547
2024-11-21,274,7,75,23122.37,315.19,6804.88,2.5547
2024-11-22,274,7,93,22143.84,507.02,8607.4,2.5547
2024-11-23,274,13,97,22952.58,2463.3,10661.7,4.7445
2024-11-24,274,8,84,23485.87,2600.3999999999996,7984.89,2.9197
2024-11-25,274,13,90,27977.88,2674.15,13511.47,4.7445
2024-11-26,274,11,102,20963.14,651.43,6698.7,4.0146
2024-11-27,274,12,91,25368.79,7432.99,12758.210000000001,4.3796
2024-11-28,274,4,86,26029.57,1407.56,9306.15,1.4599
2024-11-29,274,10,96,26624.0,2976.61,10152.460000000001,3.6496
2024-11-30,274,12,111,25396.55,4341.09,11982.789999999999,4.3796
2024-12-01,274,2,90,21169.46,149.09,7317.53,0.7299
2024-12-02,274,6,93,22451.34,455.27,7432.6900000000005,2.1898
2024-12-03,274,5,99,26005.41,326.26,9827.960000000001,1.8248
2024-12-04,274,12,87,26802.55,1588.84,9846.01,4.3796
2024-12-05,274,5,89,26938.79,482.46,9632.09,1.8248
2024-12-06,274,12,93,26190.4,898.8399999999999,8933.95,4.3796
2024-12-07,274,14,103,30260.22,6771.08,13664.08,5.1095
2024-12-08,274,9,90,24380.55,3699.04,10141.37,3.2847
2024-12-09,274,8,91,24084.78,3192.54,10092.5,2.9197
2024-12-10,274,5,91,23683.02,1326.8,8747.37,1.8248
2024-12-11,274,10,85,27690.77,6594.0,12071.02,3.6496
2024-12-12,274,7,95,22108.57,691.29,7706.67,2.5547
2024-12-13,273,8,94,25008.25,658.1899999999999,8900.75,2.9304
2024-12-14,274,5,86,24971.02,389.51,7580.61,1.8248
2024-12-15,274,8,83,24725.59,963.36,6016.99,2.9197
2024-12-16,274,8,85,25097.07,470.23,10313.83,2.9197
2024-12-17,274,6,91,25000.92,415.57,8382.36,2.1898
2024-12-18,274,9,87,28184.17,4702.07,11853.18,3.2847
2024-12-19,274,7,87,29204.87,5823.860000000001,11817.72,2.5547
2024-12-20,274,10,87,26808.34,4139.17,11276.02,3.6496
2024-12-21,274,7,88,21029.88,558.9599999999999,6354.4,2.5547
2024-12-22,274,14,82,32618.87,3107.59,12348.75,5.1095
2024-12-23,274,6,76,25340.33,1637.79,10030.84,2.1898
2024-12-24,274,6,86,27285.84,1874.87,9616.15,2.1898
2024-12-25,274,17,83,28060.47,3967.93,9539.16,6.2044
2024-12-26,274,6,81,29077.86,3064.8599999999997,9636.19,2.1898
2024-12-27,274,7,94,23812.399999999998,1894.49,10817.15,2.5547
2024-12-28,274,10,96,22196.920000000002,740.01,8872.300000000001,3.6496
2024-12-29,274,4,82,23978.38,178.35999999999999,8590.02,1.4599
2024-12-30,274,6,93,21984.829999999998,349.86,6934.25,2.1898
2024-12-31,274,8,89,24098.72,166.86,8543.21,2.9197
2025-01-01,274,9,84,25175.43,2341.89,9030.21,3.2847
2025-01-02,274,11,90,22120.07,2113.2599999999998,7817.79,4.0146
2025-01-03,274,5,91,25012.1,1475.1999999999998,8198.41,1.8248
2025-01-04,274,8,85,26800.9,4944.360000000001,11195.84,2.9197
2025-01-05,274,8,79,23483.920000000002,510.23,6256.78,2.9197
2025-01-06,274,6,81,24243.36,219.41,5455.61,2.1898
2025-01-07,274,8,76,23337.37,763.14,6468.91,2.9197
2025-01-08,274,4,93,21268.63,264.09999999999997,6256.92,1.4599
2025-01-09,274,12,81,24251.03,2951.75,9332.81,4.3796
2025-01-10,274,2,107,22878.84,476.89,8656.82,0.7299
2025-01-11,274,5,90,23584.58,380.01,5649.92,1.8248
2025-01-12,274,6,85,21045.72,831.75,6710.65,2.1898
2025-01-13,274,8,65,25660.22,3687.3100000000004,7233.83,2.9197
2025-01-14,274,7,93,22206.16,2543.69,8372.69,2.5547
2025-01-15,274,6,77,25644.25,2106.82,8653.68,2.1898
2025-01-16,274,12,116,22294.46,1198.58,9586.35,4.3796
2025-01-17,273,5,87,24392.98,335.21999999999997,5850.89,1.8315
2025-01-18,274,6,82,29027.62,1610.41,10151.82,2.1898
2025-01-19,274,7,89,23291.65,1945.3600000000001,8163.49,2.5547
2025-01-20,274,15,94,25499.05,3141.1099999999997,8893.24,5.4745
2025-01-21,274,6,79,24388.24,307.28000000000003,6691.32,2.1898
2025-01-22,274,9,93,25968.64,2755.65,10651.8,3.2847
2025-01-23,274,10,84,27090.42,3956.71,10966.57,3.6496
2025-01-24,274,15,101,28231.44,5544.26,13111.84,5.4745
2025-01-25,274,11,95,25554.31,4465.400000000001,11576.07,4.0146
2025-01-26,274,5,97,24000.75,1345.3400000000001,8587.11,1.8248
2025-01-27,274,9,93,27196.18,4905.07,11312.83,3.2847
2025-01-28,274,10,102,26693.09,3642.1,11398.41,3.6496
2025-01-29,274,6,80,23443.57,613.74,7135.49,2.1898
2025-01-30,274,7,97,23577.13,1320.6,10714.37,2.5547
2025-01-31,274,9,97,24144.82,1699.52,9394.4,3.2847
2025-02-01,274,10,93,21250.75,1321.72,8775.69,3.6496
2025-02-02,274,10,88,23384.1,1770.61,8697.960000000001,3.6496
2025-02-03,274,12,88,24651.79,1891.21,9588.89,4.3796
2025-02-04,274,8,92,25113.94,1801.8700000000001,10113.74,2.9197
2025-02-05,274,6,90,24619.59,1921.16,7726.05,2.1898
2025-02-06,274,8,92,27458.89,4817.92,11070.47,2.9197
2025-02-07,274,9,100,26467.96,448.27,8678.37,3.2847
2025-02-08,274,6,82,22667.81,505.38,6414.91,2.1898
2025-02-09,274,8,80,24792.16,649.01,5473.59,2.9197
2025-02-10,274,11,90,23598.67,3413.76,9323.26,4.0146
2025-02-11,274,9,96,24470.81,315.44,8375.23,3.2847
